,Cohort Graduation Rate Standard Score,The ACT Score,lea_stud_internet_comp_num,summer_program_flg,digital_media_pct,st_univ_college_courses,lea_highqual_class_lp_pct,lea_emer_prov_teach_pct,st_crime_per_c_num,st_total_expense_num,lea_tchyrs_11plus_pct,st_sat_avg_score_num,st_short_susp_per_c_num,st_books_per_student,Avg_Dist_Size_MathI,State_Prin_Exp_Pct_10+_Years,lea_highqual_class_pct,st_prin_advance_dgr_pct,ib_pct_4_or_above,flicensed_teach_pct,lea_crime_per_c_num,stem_flg,EVAAS Growth Status,ap_ib_courses,Tch_Exp_Pct_0_3_Years,lea_lateral_teach_pct,lea_federal_perpupil_num,st_tchyrs_4thru10_pct,Avg_Dist_Size_EnglishII,st_sat_participation_pct,lea_total_specialized_courses,no_data_spg_flg,State_Tch_Exp_Pct_0_3_Years,st_cte_courses,lea_other_expense_pct,books_per_student,lea_ap_participation_pct,lea_not_highqual_class_hp_pct,lea_state_perpupil_num,wap_num,st_wap_num,lateral_teach_pct,lea_local_perpupil_num,sat_participation_pct,lea_ap_pct_3_or_above,lea_cte_courses,Dist_Tch_Exp_Pct_0_3_Years,st_ib_pct_4_or_above,st_stud_internet_comp_num,type_cd_txt,st_prin_black_pct,ap_participation_pct,lea_univ_college_courses,sch_percent_college_enrolled_16_mos_post_grad,lea_avg_daily_attend_pct,sat_avg_score_num,esea_status,State_Prin_Exp_Pct_4_10_Years,tchyrs_11plus_pct,st_ap_participation_pct,st_local_perpupil_num,emer_prov_teach_pct,st_salary_expense_pct,st_not_highqual_class_hp_pct,lea_wap_per_classroom,st_flicensed_teach_pct,lea_sat_participation_pct,st_total_specialized_courses,Avg_State_Size_MathI,Math I Score,st_class_teach_num,tchyrs_4thru10_pct,Dist_Tch_Exp_Pct_4_10_Years,Tch_Exp_Pct_4_10_Years,Dist_Prin_Exp_Pct_10+_Years,ap_pct_3_or_above,st_avg_student_num,ACT WorkKeys Score,Unnamed: 0,State_Tch_Exp_Pct_10+_Years,AP_Courses_Offered,avg_daily_attend_pct,lea_avg_age_media_collection,st_ap_pct_3_or_above,st_expelled_per_c_num,st_avg_age_media_collection,lea_nbpts_num,st_tchyrs_0thru3_pct,st_highqual_class_pct,category_cd,expelled_per_c_num,total_specialized_courses,st_highqual_class_hp_pct,clp_ind_flg,asm_no_spg_flg,lea_ib_pct_4_or_above,lea_wap_num,st_benefits_expense_pct,lea_instruct_equip_exp_pct,st_highqual_class_lp_pct,stud_internet_comp_num,class_teach_num,st_wap_per_classroom,st_tchyrs_11plus_pct,calendar_only_txt,Avg_State_Size_Biology,univ_college_courses,st_instruct_equip_exp_pct,Dist_Tch_Exp_Pct_10+_Years,st_not_highqual_class_all_pct,lea_avg_student_num,st_supplies_expense_pct,st_state_perpupil_num,Grad_project_status,lea_flicensed_teach_pct,st_prin_other_pct,st_1yr_prin_trnovr_pct,nbpts_num,avg_age_media_collection,lea_salary_expense_pct,st_prinyrs_0thru3_pct,crime_per_c_num,st_nbpts_num,lea_class_teach_num,_1yr_tchr_trnovr_pct,st_prinyrs_4thru10_pct,st_avg_daily_attend_pct,st_prin_white_pct,student_num,Avg_Class_Size_Biology,lea_long_susp_per_c_num,st_lateral_teach_pct,lea_benefits_expense_pct,Avg_State_Size_EnglishII,lea_supplies_expense_pct,wap_per_classroom,lea_not_highqual_class_all_pct,st_advance_dgr_pct,lea_advance_dgr_pct,st_prin_female_pct,lea_expelled_per_c_num,title1_type_flg,st_services_expense_pct,Byod,school_type_txt,Avg_Class_Size_EnglishII,st_highqual_class_all_pct,st_prin_male_pct,lea_not_highqual_class_lp_pct,lea_ap_ib_courses,highqual_class_pct,Dist_Prin_Exp_Pct_4_10_Years,lea_tchyrs_0thru3_pct,lea_highqual_class_all_pct,st_emer_prov_teach_pct,lea_books_per_student,One_Yr_College_Complete_wi_2_yrs_Enrolled_2012,cte_courses,EVAAS Growth Score,lea_sat_avg_score_num,advance_dgr_pct,State_Tch_Exp_Pct_4_10_Years,st_federal_perpupil_num,lea_total_expense_num,short_susp_per_c_num,Tch_Exp_Pct_10+_Years,Avg_Class_Size_MathI,lea_services_expense_pct,st_other_expense_pct,lea_highqual_class_hp_pct,lea_1yr_tchr_trnovr_pct,lea_short_susp_per_c_num,nat_sat_participation_pct,st_1yr_tchr_trnovr_pct,Biology Score,st_prinyrs_11plus_pct,nat_sat_avg_score_num,tchyrs_0thru3_pct,State_Prin_Exp_Pct_0_3_Years,Avg_Dist_Size_Biology,State Gap Compared,st_ap_ib_courses,SPG Score,Dist_Prin_Exp_Pct_0_3_Years,English II Score,st_not_highqual_class_lp_pct,1_to_1_access,long_susp_per_c_num,focus_clp_flg,Overall Achievement Score,Math Course Rigor Score,SPG Grade,lea_tchyrs_4thru10_pct,st_long_susp_per_c_num,Overall_Achievement_Score_bins,SchoolWeightedScore
0,90.0,60.0,1.24,False,0.01,0.070640347,0.914,0.005,1.27,8859.04,0.518,997,14.02,19.18,21.0,0.14300000000000002,0.889,0.222,0.785,1.0,0.96,False,Exceeded,0.1287131045,0.0,0.093,1155.92,0.235,18.0,0.49,1.0,False,0.231,0.639202907,0.0,11.52,0.15,0.076,5529.5,65.0,111757,0.085,1832.54,0.43,0.37,0.705882353,0.242,0.75,1.2,Public,0.237,0.13,0.072774194,45.0,0.941,1034.0,Non_Esea,0.4270000000000001,0.7140000000000001,0.15,2172.86,0.017,0.62,0.036000000000000004,0.92,0.897,0.51,0.964634537,20.0,51.0,54,0.28600000000000003,0.24,0.28600000000000003,0.16699999999999998,0.4,860,72.0,2,0.534,7.0,0.991,2000.0,0.51,0,2000.0,5.0,0.231,0.964,H,0.0,1.0,0.964,False,False,0.76,1380.0,0.205,0.009000000000000001,0.976,0.69,7.0,1.12,0.534,Traditional Calendar,18.0,0.070670342,0.01,0.518,0.037000000000000005,985.0,0.075,5718.43,False,0.903,0.026,0.08900000000000001,1.0,1998.0,0.631,0.43,0.0,8,54.0,0.0,0.4270000000000001,0.951,0.737,108.0,13.0,0.23,0.092,0.212,18.0,0.07400000000000001,1.1949999999999998,0.06,0.248,0.211,0.596,0.0,False,0.09,No,Regular School,13.0,0.963,0.398,0.086,0.141829903,0.964,0.417,0.242,0.94,0.003,19.880000000000003,45.0,0.712247909,80.3,961.0,0.14300000000000002,0.235,967.75,8517.96,0.0,0.7140000000000001,19.0,0.07400000000000001,0,0.924,0.13,12.37,0.52,0.14800000000000002,55.0,0.14300000000000002,1006,0.0,0.43,18.0,N,0.164899645,69.0,0.417,59.0,0.024,No,0.0,False,68.0,100.0,C,0.24,0.07,55-69,175.07999999999998
1,90.0,60.0,1.24,False,0.0,0.070640347,0.914,0.005,1.27,8859.04,0.518,997,14.02,19.18,21.0,0.14300000000000002,0.889,0.222,0.785,0.942,0.96,False,Exceeded,0.1287131045,0.18600000000000005,0.093,1155.92,0.235,18.0,0.49,1.0,False,0.231,0.639202907,0.0,6.64,0.15,0.076,5529.5,64.0,111757,0.058,1832.54,0.58,0.37,0.705882353,0.242,0.75,1.2,Public,0.237,0.14,0.072774194,57.95918367,0.941,996.0,Non_Esea,0.4270000000000001,0.443,0.15,2172.86,0.017,0.62,0.036000000000000004,0.92,0.897,0.51,0.964634537,20.0,51.0,54,0.371,0.24,0.371,0.16699999999999998,0.5,860,72.0,9,0.534,7.0,0.936,1999.0,0.51,0,2000.0,5.0,0.231,0.964,H,0.0,1.0,0.964,False,False,0.76,1380.0,0.205,0.009000000000000001,0.976,1.36,70.0,1.12,0.534,Traditional Calendar,18.0,0.070670342,0.01,0.518,0.037000000000000005,985.0,0.075,5718.43,False,0.903,0.026,0.08900000000000001,12.0,1996.0,0.631,0.43,0.66,8,54.0,0.128,0.4270000000000001,0.951,0.737,1217.0,22.0,0.23,0.092,0.212,18.0,0.07400000000000001,1.05,0.06,0.248,0.211,0.596,0.0,False,0.09,No,Regular School,22.0,0.963,0.398,0.086,0.141829903,0.86,0.417,0.242,0.94,0.003,14.24,57.95918367,0.712247909,80.3,961.0,0.14300000000000002,0.235,967.75,8517.96,12.49,0.443,21.0,0.07400000000000001,0,0.924,0.13,12.37,0.52,0.14800000000000002,55.0,0.14300000000000002,1006,0.18600000000000005,0.43,18.0,N,0.164899645,69.0,0.417,59.0,0.024,No,0.0,True,68.0,100.0,C,0.24,0.07,55-69,175.07999999999998
2,90.0,60.0,1.24,False,0.0,0.070640347,0.914,0.005,1.27,8859.04,0.518,997,14.02,19.18,21.0,0.14300000000000002,0.889,0.222,0.785,0.813,0.96,False,Exceeded,0.1287131045,0.463,0.093,1155.92,0.235,18.0,0.49,1.0,False,0.231,0.639202907,0.0,9.97,0.15,0.076,5529.5,66.0,111757,0.187,1832.54,0.54,0.37,0.705882353,0.242,0.75,1.2,Public,0.237,0.17,0.072774194,43.37349398,0.941,842.0,Non_Esea,0.4270000000000001,0.444,0.15,2172.86,0.017,0.62,0.036000000000000004,0.92,0.897,0.51,0.964634537,20.0,51.0,54,0.093,0.24,0.093,0.16699999999999998,0.4,860,72.0,15,0.534,7.0,0.926,1999.0,0.51,0,2000.0,5.0,0.231,0.964,H,0.0,1.0,0.964,False,False,0.76,1380.0,0.205,0.009000000000000001,0.976,0.91,54.0,1.12,0.534,Traditional Calendar,18.0,0.070670342,0.01,0.518,0.037000000000000005,985.0,0.075,5718.43,False,0.903,0.026,0.08900000000000001,1.0,1999.0,0.631,0.43,1.63,8,54.0,0.2,0.4270000000000001,0.951,0.737,797.0,21.0,0.23,0.092,0.212,18.0,0.07400000000000001,1.25,0.06,0.248,0.211,0.596,0.0,False,0.09,No,Regular School,18.0,0.963,0.398,0.086,0.141829903,0.893,0.417,0.242,0.94,0.003,14.24,43.37349398,0.712247909,80.3,961.0,0.13,0.235,967.75,8517.96,12.05,0.444,23.0,0.07400000000000001,0,0.924,0.13,12.37,0.52,0.14800000000000002,55.0,0.14300000000000002,1006,0.463,0.43,18.0,N,0.164899645,69.0,0.417,59.0,0.024,No,1.0,False,68.0,100.0,C,0.24,0.07,55-69,175.07999999999998
3,90.0,60.0,1.24,False,0.01,0.070640347,0.914,0.005,1.27,8859.04,0.518,997,14.02,19.18,21.0,0.14300000000000002,0.889,0.222,0.785,0.833,0.96,False,Exceeded,0.1287131045,0.318,0.093,1155.92,0.235,18.0,0.49,1.0,False,0.231,0.639202907,0.0,11.98,0.15,0.076,5529.5,70.0,111757,0.152,1832.54,0.34,0.37,0.705882353,0.242,0.75,1.2,Public,0.237,0.09,0.072774194,38.7755102,0.941,911.0,Non_Esea,0.4270000000000001,0.439,0.15,2172.86,0.017,0.62,0.036000000000000004,0.92,0.897,0.51,0.964634537,20.0,51.0,54,0.242,0.24,0.242,0.16699999999999998,0.21,860,72.0,22,0.534,7.0,0.909,1999.0,0.51,0,2000.0,5.0,0.231,0.964,H,0.0,1.0,0.964,False,False,0.76,1380.0,0.205,0.009000000000000001,0.976,1.01,66.0,1.12,0.534,Traditional Calendar,18.0,0.070670342,0.01,0.518,0.037000000000000005,985.0,0.075,5718.43,False,0.903,0.026,0.08900000000000001,4.0,1995.0,0.631,0.43,1.22,8,54.0,0.14,0.4270000000000001,0.951,0.737,899.0,16.0,0.23,0.092,0.212,18.0,0.07400000000000001,1.27,0.06,0.248,0.211,0.596,0.0,False,0.09,No,Regular School,17.0,0.963,0.398,0.086,0.141829903,0.8590000000000001,0.417,0.242,0.94,0.003,14.24,38.7755102,0.712247909,80.3,961.0,0.194,0.235,967.75,8517.96,22.25,0.439,17.0,0.07400000000000001,0,0.924,0.13,12.37,0.52,0.14800000000000002,55.0,0.14300000000000002,1006,0.318,0.43,18.0,N,0.164899645,69.0,0.417,59.0,0.024,No,0.0,False,68.0,100.0,C,0.24,0.07,55-69,175.07999999999998
4,90.0,60.0,1.24,False,0.0,0.070640347,0.914,0.005,1.27,8859.04,0.518,997,14.02,19.18,21.0,0.14300000000000002,0.889,0.222,0.785,0.918,0.96,False,Exceeded,0.1287131045,0.235,0.093,1155.92,0.235,18.0,0.49,1.0,False,0.231,0.639202907,0.0,5.73,0.15,0.076,5529.5,74.0,111757,0.08199999999999999,1832.54,0.47,0.37,0.705882353,0.242,0.75,1.2,Public,0.237,0.13,0.072774194,52.13414634,0.941,974.0,Non_Esea,0.4270000000000001,0.529,0.15,2172.86,0.017,0.62,0.036000000000000004,0.92,0.897,0.51,0.964634537,20.0,51.0,54,0.235,0.24,0.235,0.16699999999999998,0.34,860,72.0,30,0.534,7.0,0.93,1999.0,0.51,0,2000.0,5.0,0.231,0.964,H,0.0,1.0,0.964,True,False,0.76,1380.0,0.205,0.009000000000000001,0.976,1.36,85.0,1.12,0.534,Traditional Calendar,18.0,0.070670342,0.01,0.518,0.037000000000000005,985.0,0.075,5718.43,False,0.903,0.026,0.08900000000000001,8.0,1991.0,0.631,0.43,1.06,8,54.0,0.098,0.4270000000000001,0.951,0.737,1508.0,22.0,0.23,0.092,0.212,18.0,0.07400000000000001,0.99,0.06,0.248,0.211,0.596,0.0,False,0.09,No,Regular School,23.0,0.963,0.398,0.086,0.141829903,0.882,0.417,0.242,0.94,0.003,14.24,52.13414634,0.712247909,80.3,961.0,0.2,0.235,967.75,8517.96,10.08,0.529,25.0,0.07400000000000001,0,0.924,0.13,12.37,0.52,0.14800000000000002,55.0,0.14300000000000002,1006,0.235,0.43,18.0,N,0.164899645,69.0,0.417,59.0,0.024,No,0.33,False,68.0,100.0,C,0.24,0.07,55-69,175.07999999999998
5,90.0,60.0,1.24,False,0.01,0.070640347,0.914,0.005,1.27,8859.04,0.518,997,14.02,19.18,21.0,0.14300000000000002,0.889,0.222,0.785,0.953,0.96,False,Exceeded,0.1287131045,0.16899999999999998,0.093,1155.92,0.235,18.0,0.49,1.0,False,0.231,0.639202907,0.0,12.48,0.15,0.076,5529.5,83.0,111757,0.031,1832.54,0.61,0.37,0.705882353,0.242,0.75,1.2,Public,0.237,0.2,0.072774194,54.65116279,0.941,936.0,Non_Esea,0.4270000000000001,0.5379999999999999,0.15,2172.86,0.017,0.62,0.036000000000000004,0.92,0.897,0.51,0.964634537,20.0,51.0,54,0.292,0.24,0.292,0.16699999999999998,0.36,860,72.0,34,0.534,7.0,0.921,1999.0,0.51,0,2000.0,5.0,0.231,0.964,H,0.0,1.0,0.964,False,False,0.76,1380.0,0.205,0.009000000000000001,0.976,1.71,65.0,1.12,0.534,Traditional Calendar,18.0,0.070670342,0.01,0.518,0.037000000000000005,985.0,0.075,5718.43,False,0.903,0.026,0.08900000000000001,8.0,1998.0,0.631,0.43,0.69,8,54.0,0.14800000000000002,0.4270000000000001,0.951,0.737,1158.0,21.0,0.23,0.092,0.212,18.0,0.07400000000000001,1.2,0.06,0.248,0.211,0.596,0.0,False,0.09,No,Regular School,20.0,0.963,0.398,0.086,0.141829903,0.911,0.417,0.242,0.94,0.003,14.24,54.65116279,0.712247909,80.3,961.0,0.477,0.235,967.75,8517.96,12.87,0.5379999999999999,20.0,0.07400000000000001,0,0.924,0.13,12.37,0.52,0.14800000000000002,55.0,0.14300000000000002,1006,0.16899999999999998,0.43,18.0,N,0.164899645,69.0,0.417,59.0,0.024,No,0.0,False,68.0,100.0,C,0.24,0.07,55-69,175.07999999999998
6,90.0,60.0,1.24,False,0.01,0.070640347,0.914,0.005,1.27,8859.04,0.518,997,14.02,19.18,21.0,0.14300000000000002,0.889,0.222,0.785,0.944,0.96,False,Exceeded,0.1287131045,0.194,0.093,1155.92,0.235,18.0,0.49,1.0,False,0.231,0.639202907,0.0,7.13,0.15,0.076,5529.5,70.0,111757,0.056,1832.54,0.55,0.37,0.705882353,0.242,0.75,1.2,Public,0.237,0.19,0.072774194,60.49822064,0.941,1014.0,Non_Esea,0.4270000000000001,0.597,0.15,2172.86,0.017,0.62,0.036000000000000004,0.92,0.897,0.51,0.964634537,20.0,51.0,54,0.208,0.24,0.208,0.16699999999999998,0.49,860,72.0,35,0.534,7.0,0.934,1999.0,0.51,0,2000.0,5.0,0.231,0.964,H,0.0,1.0,0.964,False,False,0.76,1380.0,0.205,0.009000000000000001,0.976,1.29,72.0,1.12,0.534,Traditional Calendar,18.0,0.070670342,0.01,0.518,0.037000000000000005,985.0,0.075,5718.43,False,0.903,0.026,0.08900000000000001,4.0,1992.0,0.631,0.43,0.83,8,54.0,0.084,0.4270000000000001,0.951,0.737,1211.0,22.0,0.23,0.092,0.212,18.0,0.07400000000000001,1.19,0.06,0.248,0.211,0.596,0.0,False,0.09,No,Regular School,23.0,0.963,0.398,0.086,0.141829903,0.911,0.417,0.242,0.94,0.003,14.24,60.49822064,0.712247909,80.3,961.0,0.16699999999999998,0.235,967.75,8517.96,8.59,0.597,17.0,0.07400000000000001,0,0.924,0.13,12.37,0.52,0.14800000000000002,55.0,0.14300000000000002,1006,0.194,0.43,18.0,N,0.164899645,69.0,0.417,59.0,0.024,No,0.25,False,68.0,100.0,C,0.24,0.07,55-69,175.07999999999998
7,90.0,60.0,1.08,True,0.0,0.070640347,1.0,0.005,1.27,8859.04,0.541,997,14.02,19.18,19.0,0.14300000000000002,0.955,0.222,0.785,0.959,1.56,False,Exceeded,0.1287131045,0.184,0.031,923.51,0.235,17.0,0.49,1.0,False,0.231,0.639202907,0.0,7.18,0.09,0.0,6063.47,117.0,111757,0.031,1518.55,0.34,0.47,0.705882353,0.184,0.75,1.2,Public,0.237,0.09,0.072774194,49.11392405,0.962,1002.0,Non_Esea,0.4270000000000001,0.541,0.15,2172.86,0.017,0.62,0.036000000000000004,1.2,0.897,0.34,0.964634537,20.0,51.0,54,0.276,0.276,0.276,0.2,0.47,860,72.0,38,0.534,7.0,0.958,1997.0,0.51,0,2000.0,21.0,0.231,0.964,H,0.0,1.0,0.964,False,False,0.76,463.0,0.205,0.014,0.976,0.7,98.0,1.12,0.534,Traditional Calendar,18.0,0.070670342,0.01,0.541,0.037000000000000005,1478.0,0.075,5718.43,True,0.959,0.026,0.08900000000000001,21.0,1998.0,0.632,0.43,1.56,8,98.0,0.16399999999999998,0.4270000000000001,0.951,0.737,1478.0,18.0,0.0,0.092,0.22,18.0,0.079,1.34,0.017,0.248,0.276,0.596,0.0,False,0.09,No,Regular School,17.0,0.963,0.398,0.0,0.141829903,0.955,0.3,0.184,0.983,0.003,19.64,49.11392405,0.712247909,80.3,1002.0,0.276,0.235,967.75,8505.53,7.92,0.541,14.0,0.055,0,1.0,0.163,7.92,0.52,0.14800000000000002,55.0,0.14300000000000002,1006,0.184,0.43,18.0,N,0.164899645,69.0,0.5,59.0,0.024,Yes,0.0,False,68.0,100.0,C,0.276,0.07,55-69,175.07999999999998
8,90.0,60.0,0.79,False,0.03,0.070640347,0.987,0.027000000000000003,1.27,8859.04,0.649,997,14.02,19.18,17.0,0.14300000000000002,0.836,0.222,0.785,0.89,0.44,False,Exceeded,0.1287131045,0.189,0.08199999999999999,1487.57,0.235,16.0,0.49,1.0,False,0.231,0.639202907,0.0,22.59,0.14,0.195,7981.7,43.0,111757,0.08199999999999999,2467.21,0.29,0.56,0.705882353,0.189,0.75,1.2,Public,0.237,0.13,0.072774194,51.37614679,0.947,964.0,Non_Esea,0.4270000000000001,0.649,0.15,2172.86,0.027000000000000003,0.62,0.036000000000000004,0.93,0.897,0.29,0.964634537,20.0,51.0,54,0.162,0.162,0.162,0.0,0.56,860,72.0,48,0.534,7.0,0.933,1999.0,0.51,0,2000.0,7.0,0.231,0.964,H,0.0,1.0,0.964,False,False,0.76,111.0,0.205,0.01,0.976,0.64,37.0,1.12,0.534,Traditional Calendar,18.0,0.070670342,0.01,0.649,0.037000000000000005,450.0,0.075,5718.43,True,0.89,0.026,0.08900000000000001,7.0,2000.0,0.611,0.43,0.44,8,37.0,0.087,0.4270000000000001,0.951,0.737,450.0,16.0,0.0,0.092,0.2,18.0,0.092,1.08,0.14,0.248,0.378,0.596,0.0,False,0.09,Yes,Regular School,16.0,0.963,0.398,0.013,0.141829903,0.836,0.25,0.189,0.86,0.003,42.08,51.37614679,0.712247909,80.3,964.0,0.378,0.235,967.75,11936.48,6.44,0.649,17.0,0.087,0,0.805,0.086,6.44,0.52,0.14800000000000002,55.0,0.14300000000000002,1006,0.189,0.43,16.0,N,0.164899645,69.0,0.75,59.0,0.024,No,0.0,False,68.0,100.0,C,0.162,0.07,55-69,175.07999999999998
9,90.0,60.0,0.8,True,0.01,0.070640347,0.909,0.005,1.27,8859.04,0.513,997,14.02,19.18,16.0,0.14300000000000002,0.972,0.222,0.785,0.81,1.05,False,Exceeded,0.1287131045,0.273,0.217,1519.41,0.235,18.0,0.49,1.0,False,0.231,0.639202907,0.0,11.52,0.14,0.0,7459.73,14.0,111757,0.19,1497.22,0.54,0.06,0.705882353,0.333,0.75,1.2,Public,0.237,0.13,0.072774194,54.16666667,0.942,870.0,Non_Esea,0.4270000000000001,0.455,0.15,2172.86,0.017,0.62,0.036000000000000004,1.45,0.897,0.54,0.964634537,20.0,51.0,54,0.273,0.154,0.273,0.273,0.4,860,72.0,52,0.534,7.0,0.967,2000.0,0.51,0,2000.0,2.0,0.231,0.964,H,0.0,1.0,0.964,False,False,0.76,390.0,0.205,0.028,0.976,0.98,11.0,1.12,0.534,Traditional Calendar,18.0,0.070670342,0.01,0.513,0.037000000000000005,261.0,0.075,5718.43,True,0.7709999999999999,0.026,0.08900000000000001,2.0,1998.0,0.574,0.43,0.48,8,20.0,0.095,0.4270000000000001,0.951,0.737,210.0,19.0,1.15,0.092,0.189,18.0,0.114,1.17,0.009000000000000001,0.248,0.179,0.596,0.0,False,0.09,No,Regular School,21.0,0.963,0.398,0.091,0.141829903,0.909,0.182,0.333,0.991,0.003,19.880000000000003,54.16666667,0.712247909,80.3,815.0,0.091,0.235,967.75,10476.36,1.9,0.455,18.0,0.095,0,1.0,0.2,121.84,0.52,0.14800000000000002,55.0,0.14300000000000002,1006,0.273,0.43,17.0,N,0.164899645,69.0,0.545,59.0,0.024,No,0.48,False,68.0,100.0,C,0.154,0.07,55-69,175.07999999999998
