Science Score,flicensed_teach_pct,lea_short_susp_per_c_num,total_expense_num,Avg_State_Size_08,st_total_expense_num,Tch_Exp_Pct_0_3_Years,st_tchyrs_11plus_pct,st_avg_daily_attend_pct,highqual_class_pct,st_not_highqual_class_hp_pct,avg_age_media_collection,Dist_Tch_Exp_Pct_10+_Years,PROMOTED_State_Pct,lea_class_teach_num,Avg_State_Size_EnglishII,RETAINED_School_Pct,st_salary_expense_pct,PASSED_RTA_Dist_Pct,Reading SPG Grade,nbpts_num,Dist_Tch_Exp_Pct_4_10_Years,lea_highqual_class_lp_pct,st_other_expense_pct,st_tchyrs_0thru3_pct,GCE_SWD_Dist_Pct,Cohort Graduation Rate Standard Score,st_avg_student_num,sch_percent_college_enrolled_16_mos_post_grad,Dist_Prin_Exp_Pct_10+_Years,lea_highqual_class_all_pct,PASSED_LAA_Dist_Pct,st_not_highqual_class_lp_pct,title1_type_flg,lea_flicensed_teach_pct,Math SPG Grade,Avg_Class_Size_02,PASSED_LAA_School_Pct,lea_long_susp_per_c_num,st_1yr_tchr_trnovr_pct,st_ap_ib_courses,asm_no_spg_flg,lea_avg_age_media_collection,lea_ap_ib_courses,st_instruct_equip_exp_pct,szip_ad,emer_prov_teach_pct,lea_sat_avg_score_num,wap_per_classroom,GCE_ALL_State_Pct,lea_highqual_class_pct,Avg_State_Size_MathI,lea_cte_courses,lea_univ_college_courses,nat_sat_participation_pct,st_1yr_prin_trnovr_pct,Avg_Dist_Size_06,Byod,lea_not_highqual_class_lp_pct,lea_crime_per_c_num,Math Course Rigor Score,sat_avg_score_num,lea_benefits_expense_pct,Avg_Class_Size_08,no_data_spg_flg,st_supplies_expense_pct,stem_flg,expelled_per_c_num,Avg_Dist_Size_05,State_Prin_Exp_Pct_4_10_Years,st_short_susp_per_c_num,federal_perpupil_num,nat_sat_avg_score_num,st_benefits_expense_pct,lea_instruct_equip_exp_pct,PROMOTED_Dist_Pct,lea_tchyrs_0thru3_pct,Avg_Dist_Size_08,GCE_SWD_State_Pct,lea_ib_pct_4_or_above,lea_advance_dgr_pct,st_lateral_teach_pct,Avg_Dist_Size_00,Avg_Class_Size_03,instruct_equip_exp_pct,PROMOTED_School_Pct,Math Score,univ_college_courses,Avg_Dist_Size_01,st_long_susp_per_c_num,student_num,st_highqual_class_all_pct,st_ib_pct_4_or_above,lea_stud_internet_comp_num,st_highqual_class_lp_pct,Avg_Dist_Size_03,Year,lea_wap_per_classroom,grades_BYOD,st_crime_per_c_num,lea_books_per_student,1_to_1_access,Avg_State_Size_03,st_prin_male_pct,st_wap_num,GCE_ALL_Dist_Pct,lea_highqual_class_hp_pct,Overall Achievement Score,ap_participation_pct,State_Prin_Exp_Pct_0_3_Years,lea_wap_num,ap_ib_courses,Avg_Dist_Size_MathI,EVAAS Growth Score,lateral_teach_pct,State_Tch_Exp_Pct_10+_Years,books_per_student,English II Score,digital_media_pct,lea_services_expense_pct,lea_local_perpupil_num,advance_dgr_pct,cte_courses,st_emer_prov_teach_pct,Avg_Class_Size_06,lea_expelled_per_c_num,st_not_highqual_class_all_pct,lea_nbpts_num,AP_Courses_Offered,st_advance_dgr_pct,EVAAS Growth Status,Math SPG Score,focus_clp_flg,RETAINED_Dist_Pct,_1yr_tchr_trnovr_pct,GCE_ALL_School_Pct,stud_internet_comp_num,Read Score,st_tchyrs_4thru10_pct,st_univ_college_courses,Avg_State_Size_05,supplies_expense_pct,PASSED_EOG_School_Pct,ap_pct_3_or_above,st_ap_pct_3_or_above,wap_num,Math I Score,st_prin_black_pct,Avg_Dist_Size_Biology,lea_lateral_teach_pct,st_highqual_class_pct,st_prin_advance_dgr_pct,st_prinyrs_4thru10_pct,Avg_Dist_Size_07,Avg_Dist_Size_EnglishII,Closed_Ind_Text,SPG Score,lea_state_perpupil_num,lea_other_expense_pct,lea_1yr_tchr_trnovr_pct,summer_program_flg,sat_participation_pct,Avg_Class_Size_01,short_susp_per_c_num,st_stud_internet_comp_num,lea_ap_participation_pct,Avg_Class_Size_07,local_perpupil_num,st_total_specialized_courses,Biology Score,Tch_Exp_Pct_4_10_Years,state_perpupil_num,lea_not_highqual_class_hp_pct,services_expense_pct,calendar_only_txt,Avg_Class_Size_04,lea_supplies_expense_pct,state_ad,st_prin_female_pct,tchyrs_0thru3_pct,State_Tch_Exp_Pct_4_10_Years,category_cd,ACT WorkKeys Score,st_avg_age_media_collection,lea_federal_perpupil_num,tchyrs_4thru10_pct,st_federal_perpupil_num,State_Prin_Exp_Pct_10+_Years,Avg_Class_Size_EnglishII,st_nbpts_num,st_flicensed_teach_pct,Avg_Class_Size_00,crime_per_c_num,Avg_State_Size_06,Tch_Exp_Pct_10+_Years,Dist_Prin_Exp_Pct_4_10_Years,st_expelled_per_c_num,SPG Grade,The ACT Score,State_Tch_Exp_Pct_0_3_Years,tchyrs_11plus_pct,Dist_Tch_Exp_Pct_0_3_Years,lea_ap_pct_3_or_above,st_prinyrs_0thru3_pct,st_local_perpupil_num,GCE_SWD_School_Pct,st_cte_courses,Avg_State_Size_02,lea_total_specialized_courses,Avg_State_Size_07,State Gap Compared,st_highqual_class_hp_pct,Avg_State_Size_01,PASSED_EOG_State_Pct,st_prin_white_pct,st_sat_avg_score_num,st_services_expense_pct,st_ap_participation_pct,Avg_Class_Size_05,benefits_expense_pct,lea_emer_prov_teach_pct,type_cd_txt,Avg_Class_Size_MathI,avg_daily_attend_pct,Grad_project_status,school_type_txt,Avg_Class_Size_Biology,lea_total_expense_num,RETAINED_State_Pct,Avg_State_Size_Biology,Reading  SPG Score,Avg_Dist_Size_02,total_specialized_courses,GCE_RPF_Dist_Pct,lea_salary_expense_pct,Avg_Dist_Size_04,st_books_per_student,other_expense_pct,lea_avg_student_num,salary_expense_pct,PASSED_LAA_State_Pct,lea_not_highqual_class_all_pct,clp_ind_flg,One_Yr_College_Complete_wi_2_yrs_Enrolled_2012,Avg_State_Size_04,Avg_State_Size_00,lea_tchyrs_4thru10_pct,st_class_teach_num,scity_ad,long_susp_per_c_num,New_ind_Txt,st_prin_other_pct,st_wap_per_classroom,GCE_RPF_School_Pct,st_prinyrs_11plus_pct,st_sat_participation_pct,st_state_perpupil_num,lea_sat_participation_pct,esea_status,Dist_Prin_Exp_Pct_0_3_Years,grades_1_to_1_access,street_ad,class_teach_num,lea_tchyrs_11plus_pct,PASSED_EOG_Dist_Pct,lea_avg_daily_attend_pct,Overall_Achievement_Score_bins,BIN1,BIN2,BIN3,SchoolWeightedScore
68,0.893,10.59,8297.25,21,8859.04,0.216,0.547,0.958,0.872,0.036,2000,0.518,0.856,37,18,0.214,0.62,0.054,C,4,0.26,0.987,0,0.227,0.078,90,511,73.11827957,0.116,0.981,0.105,0.024,0,0.972,C,22,0.088,0,0.157,0.164899645,0,2000,0.147809026,0.01,28115,0.024,982,1.15,0.112,0.986,20,0.700773646,0.072774194,0.52,0.089,22,No,0.013,0.3,100,1087,0.21,23,0,0.075,0,0,21,0.427,8.39,158.82,1006,0.205,0.009,0.87,0.215,23,0.065,0.76,0.274,0.068,19,25,0.012,0.95,53,0.069651741,19,0.06,1694,0.963,0.75,1.14,0.976,19,2016,1.15,-,0.58,19.64,No,19,0.398,111757,0.103,0.982,59,0.4,0.43,1497,0.135721018,21,80.2,0.019,0.547,20.76,60,0.01,0.081,1984.2,0.268,0.703973933,0.003,26,0,0.037,5,7,0.277,Met,58,0,0.142,0.129,0,1.19,56,0.226,0.070640347,21,0.087,0.872,0.64,0.51,40,80,0.237,19,0.026,0.82,0.222,0.427,22,19,Open,63,5638.31,0,0.132,0,0.92,18,0.77,1.2,0.15,27,2871.81,0.964634537,55,0.25,5266.62,0.018,0.267,Traditional Calendar,25,0.076,NC,0.596,0.216,0.226,A,72,2000,1041.44,0.25,967.75,0.143,23,2,0.808,20,0.3,21,0.512,0.442,0,C,61.5,0.227,0.512,0.215,0.48,0.43,2172.86,0.119,0.639202907,19,1,22,Y,0.964,19,0.579,0.737,997,0.09,0.15,26,0.146,0.005,Charter,28,0.969,N,Regular School,14,8795.42,0.144,18,60,19,1,0.091,0.626,21,19.18,0,531,0.488,0.11,0.019,0,73.11827957,20,19,0.26,36,Mooresville,0,School Is Not New,0.026,1.12,0.179,0.143,0.49,5718.43,0.47,F,0.385,-,104 Yellow Wood Circle,103,0.518,0.578,0.951,55-69,83.52,70.05,19.5,173.07
68,0.8,10.59,7955.28,21,8859.04,0.216,0.491,0.957,0.909,0.036,2000,0.518,0.856,37,18,0.214,0.62,0.054,C,4,0.26,0.987,0,0.255,0.078,90,475,55.42168675,0.116,0.981,0.105,0.024,0,0.972,C,19,0.173,0,0.127,0.164899645,0,2000,0.147809026,0.01,27560,0.024,982,1.15,0.112,0.986,20,0.700773646,0.072774194,0.52,0.089,22,No,0.013,0.3,100,974,0.21,12,0,0.075,0,0,21,0.427,8.76,157.43,1006,0.205,0.009,0.87,0.215,23,0.065,0.76,0.274,0.046,19,19,0.004,0.95,53,0.069651741,19,0.06,590,0.963,0.75,1.14,0.976,19,2016,1.15,-,0.24,19.64,No,19,0.398,111757,0.103,0.982,59,0.14,0.43,1497,0.135721018,21,80.2,0.05,0.491,20.76,60,0.01,0.081,1984.2,0.268,0.703973933,0.003,21,0,0.037,5,7,0.262,Met,58,0,0.142,0.129,0.042,1.19,56,0.254,0.070640347,21,0.043,0.903,0.4,0.51,40,80,0.237,19,0.026,0.894,0.222,0.427,22,19,Open,63,5638.31,0,0.132,0,0.45,19,0,1.2,0.15,12,2453.72,0.964634537,55,0.25,5344.13,0.018,0.204,Traditional Calendar,21,0.076,NC,0.596,0.216,0.254,I,72,2000,1041.44,0.25,967.75,0.143,19,5,0.895,24,0,21,0.512,0.442,0,C,61.5,0.255,0.512,0.215,0.48,0.43,2172.86,0.119,0.639202907,19,1,22,Y,0.964,19,0.579,0.737,997,0.09,0.15,21,0.137,0.005,Charter,16,0.961,N,Regular School,19,8795.42,0.144,18,60,19,1,0.091,0.626,21,19.18,0,531,0.612,0.11,0.019,0,55.42168675,20,19,0.26,32,Morrisville,0,School Is Not New,0.026,1.12,0.179,0.143,0.49,5718.43,0.47,F,0.385,-,202 Treybrooke Drive,40,0.518,0.578,0.951,55-69,83.52,70.05,19.5,173.07
68,1,12.37,8358.47,21,8859.04,0,0.534,0.951,0.964,0.036,2000,0.518,0.856,54,18,0.214,0.62,0.054,C,1,0.24,0.914,0,0.231,0.078,90,860,45,0.167,0.94,0.105,0.024,0,0.903,C,19,0.173,0.23,0.148,0.164899645,0,2000,0.147809026,0.01,27253,0.024,961,1.15,0.112,0.889,20,0.700773646,0.072774194,0.52,0.089,22,No,0.086,0.96,100,1034,0.212,22,0,0.075,0,0,21,0.427,14.02,205.155,1006,0.205,0.009,0.87,0.242,23,0.065,0.76,0.211,0.092,19,19,0.01,0.889,53,0.069651741,19,0.07,108,0.963,0.75,1.24,0.976,19,2016,0.92,-,1.27,19.64,No,19,0.398,111757,0.103,0.924,59,0.14,0.43,1380,0.135721018,21,80.2,0.061,0.534,20.76,60,0.01,0.074,1832.54,0.143,0.703973933,0.003,21,0,0.037,5,7,0.248,Met,58,0,0.142,0,0.098,0.69,56,0.235,0.070640347,21,0.0615,0.575,0.4,0.51,40,80,0.237,18,0.093,0.964,0.222,0.427,22,18,Open,63,5529.5,0,0.13,0,0.43,19,0,1.2,0.15,22,2423.365,0.964634537,55,0.286,5600.885,0.076,0.243,Traditional Calendar,21,0.074,NC,0.596,0,0.235,H,72,2000,1155.92,0.286,967.75,0.143,13,8,0.897,19,0,21,0.714,0.417,0,C,61.5,0.231,0.714,0.242,0.37,0.43,2172.86,0.119,0.639202907,19,1,22,Y,0.964,19,0.579,0.737,997,0.09,0.15,21,0.1255,0.005,Public,19,0.991,N,Regular School,13,8517.96,0.144,18,60,19,1,0.091,0.631,21,19.18,0,985,0.515,0.11,0.06,0,45,20,19,0.24,54,Graham,0,School Is Not New,0.026,1.12,0.179,0.143,0.49,5718.43,0.51,F,0.417,-,1247 Jimmie Kerr Road,7,0.518,0.578,0.941,55-69,83.52,70.05,19.5,173.07
68,0.958,5.89,8358.47,21,8859.04,0.222,0.5,0.952,1,0.036,2001,0.468,0.856,38,18,0.19,0.62,0.054,C,6,0.256,0.914,0,0.227,0.063,90,493,55.42168675,0.167,0.94,0.079,0.024,0,0.975,C,22,0.173,0,0.134,0.164899645,0,1999,0.147809026,0.01,27253,0.024,961,0.45,0.112,0.988,20,0.700773646,0.072774194,0.52,0.089,22,No,0.086,0.22,100,974,0.212,22,0,0.075,0,0,22,0.427,13.15,205.155,1006,0.205,0.009,0.825,0.276,23,0.065,0.76,0.246,0.015,18,20,0.01,0.81,53,0.069651741,18,0.06,565,0.963,0.75,1.24,0.976,19,2016,0.92,-,0.21,14.24,No,19,0.398,111757,0.143,0.924,59,0.14,0.43,1380,0.135721018,21,80.2,0.042,0.5,16.12,60,0.01,0.074,1832.54,0.194,0.703973933,0.004,21,0,0.037,4,7,0.285,Met,58,0,0.175,0.029,0.131,1.6,56,0.273,0.070640347,21,0.0615,0.607,0.4,0.51,17,80,0.237,19,0.021,0.982,0.222,0.427,22,19,Open,63,5529.5,0,0.117,0,0.45,19,1.24,1.2,0.15,22,2423.365,0.964634537,55,0.333,5600.885,0.076,0.243,Traditional Calendar,24,0.074,NC,0.596,0.222,0.273,E,72,2000,1155.92,0.333,967.75,0.143,19,5,0.975,18,0.18,21,0.444,0.417,0,C,61.5,0.227,0.444,0.276,0.37,0.43,2172.86,0.119,0.639202907,19,1,22,Y,0.964,19,0.579,0.737,997,0.09,0.15,23,0.1255,0.001,Public,21,0.958,N,Regular School,19,8517.96,0.144,18,60,19,1,0.071,0.631,21,19.18,0,528,0.515,0.11,0.06,0,55.42168675,20,19,0.256,34,Graham,0,School Is Not New,0.026,1.12,0.179,0.143,0.49,5718.43,0.51,F,0.417,-,2518 NC 54,36,0.468,0.529,0.944,55-69,83.52,70.05,19.5,173.07
68,1,5.89,8358.47,21,8859.04,0.176,0.5,0.952,1,0.036,2000,0.468,0.856,38,18,0.214,0.62,0.054,C,11,0.256,0.914,0,0.227,0.063,90,493,55.42168675,0.167,0.94,0.079,0.024,0,0.975,C,20,0.173,0,0.134,0.164899645,0,1999,0.147809026,0.01,27244,0.024,961,0.57,0.112,0.988,20,0.700773646,0.072774194,0.52,0.089,22,No,0.086,0.22,100,974,0.212,22,0,0.075,0,0,22,0.427,13.15,205.155,1006,0.205,0.009,0.825,0.276,23,0.065,0.76,0.246,0.015,18,20,0.01,0.95,53,0.069651741,18,0.06,557,0.963,0.75,1.24,0.976,19,2016,0.92,-,0.21,14.24,No,19,0.398,111757,0.143,0.924,59,0.14,0.43,1380,0.135721018,21,80.2,0.061,0.5,22.24,60,0,0.074,1832.54,0.529,0.703973933,0.004,21,0,0.037,4,7,0.285,Met,58,0,0.175,0.06,0.214,1.35,56,0.273,0.070640347,21,0.0615,0.709,0.4,0.51,24,80,0.237,19,0.021,0.982,0.222,0.427,22,19,Open,63,5529.5,0,0.117,0,0.45,18,1.97,1.2,0.15,22,2423.365,0.964634537,55,0.147,5600.885,0.076,0.243,Traditional Calendar,26,0.074,NC,0.596,0.176,0.273,E,72,2000,1155.92,0.147,967.75,0.143,19,5,0.975,18,0.54,21,0.676,0.417,0,C,61.5,0.227,0.676,0.276,0.37,0.43,2172.86,0.119,0.639202907,19,1,22,Y,0.964,19,0.579,0.737,997,0.09,0.15,27,0.1255,0.001,Public,21,0.955,N,Regular School,19,8517.96,0.144,18,60,19,1,0.071,0.631,21,19.18,0,528,0.515,0.11,0.06,0,55.42168675,20,19,0.256,34,Elon,0,School Is Not New,0.026,1.12,0.165,0.143,0.49,5718.43,0.51,F,0.417,-,2832 N NC 87,34,0.468,0.529,0.944,55-69,83.52,70.05,19.5,173.07
68,0.835,24.71,8358.47,21,8859.04,0.262,0.506,0.951,0.981,0.036,2002,0.503,0.856,50,18,0.214,0.62,0.054,C,4,0.29,0.914,0,0.244,0.078,90,634,55.42168675,0.167,0.94,0.105,0.024,-1,0.92,C,19,0.173,0.02,0.151,0.164899645,0,1999,0.147809026,0.01,27217,0.024,961,0.92,0.112,0.95,20,0.700773646,0.072774194,0.52,0.089,21,No,0.086,1.09,100,974,0.212,25,0,0.075,0,0,21,0.427,14.64,205.155,1006,0.205,0.009,0.87,0.207,24,0.065,0.76,0.239,0.068,19,19,0.01,0.889,53,0.069651741,19,0.06,787,0.963,0.75,1.24,0.976,19,2016,0.92,-,0.83,14.24,No,19,0.398,111757,0.103,0.924,59,0.14,0.43,1380,0.135721018,21,80.2,0.165,0.506,17.64,60,0.1,0.074,1832.54,0.23,0.703973933,0.004,18,0,0.037,4,7,0.268,Met,58,0,0.142,0.175,0.098,0.9,56,0.251,0.070640347,21,0.0615,0.575,0.4,0.51,49,80,0.237,18,0.075,0.962,0.222,0.427,21,18,Open,63,5529.5,0,0.13,0,0.45,19,43.33,1.2,0.15,20,2423.365,0.964634537,55,0.197,5600.885,0.076,0.243,Traditional Calendar,21,0.074,NC,0.596,0.262,0.251,M,72,2000,1155.92,0.197,967.75,0.143,19,5,0.923,19,2.03,21,0.541,0.417,0,C,61.5,0.244,0.541,0.207,0.37,0.43,2172.86,0.119,0.639202907,19,1,22,Y,0.964,19,0.579,0.737,997,0.09,0.15,21,0.1255,0.003,Public,27,0.934,N,Regular School,19,8517.96,0.144,18,60,19,1,0.091,0.631,21,19.18,0,722,0.515,0.11,0.06,0,55.42168675,20,19,0.29,41,Burlington,0.13,School Is Not New,0.026,1.12,0.179,0.143,0.49,5718.43,0.51,F,0.417,-,2229 Broadview Drive,61,0.503,0.578,0.944,55-69,83.52,70.05,19.5,173.07
68,0.8,12.37,8358.47,21,8859.04,0.067,0.534,0.951,1,0.036,2009,0.518,0.856,54,18,0.214,0.62,0.054,C,3,0.24,0.914,0,0.231,0.078,90,860,55.42168675,0.167,0.94,0.105,0.024,0,0.903,C,19,0.173,0.23,0.148,0.164899645,0,1999,0.147809026,0.01,27217,0.024,961,1.16,0.112,0.889,20,0.700773646,0.072774194,0.52,0.089,22,No,0.086,0.96,100,974,0.212,22,-1,0.075,0,0,21,0.427,14.02,205.155,1006,0.205,0.009,0.87,0.242,23,0.065,0.76,0.211,0.092,19,19,0.01,0.889,53,0.069651741,19,0.07,513,0.963,0.75,1.24,0.976,19,2016,0.92,-,1.27,14.24,No,19,0.398,111757,0.103,0.924,59,0.14,0.43,1380,0.135721018,21,80.2,0.2,0.534,20.76,60,0.92,0.074,1832.54,0.067,0.703973933,0.003,21,0,0.037,5,7,0.248,Met,58,0,0.142,0.071,0.098,1.19,56,0.235,0.070640347,21,0.0615,0.575,0.4,0.51,22,80,0.237,19,0.093,0.964,0.222,0.427,22,19,Open,63,5529.5,0,0.13,0,0.45,19,7.5,1.2,0.15,22,2423.365,0.964634537,55,0.067,5600.885,0.076,0.243,Traditional Calendar,21,0.074,NC,0.596,0.067,0.235,H,72,2000,1155.92,0.067,967.75,0.143,19,8,0.897,19,0.22,21,0.867,0.417,0,C,61.5,0.231,0.867,0.242,0.37,0.43,2172.86,0.119,0.639202907,19,1,22,Y,0.964,19,0.579,0.737,997,0.09,0.15,21,0.1255,0.005,Public,21,0.954,N,Vocational Education,19,8517.96,0.144,18,60,19,1,0.091,0.631,21,19.18,0,985,0.515,0.11,0.06,0,55.42168675,20,19,0.24,54,Burlington,0,School Is Not New,0.026,1.12,0.179,0.143,0.49,5718.43,0.51,F,0.417,-,2550 Buckingham Road,15,0.518,0.578,0.941,55-69,83.52,70.05,19.5,173.07
68,0.956,5.89,8358.47,21,8859.04,0.283,0.5,0.952,1,0.036,2006,0.468,0.856,38,18,0.106,0.62,0.054,C,3,0.256,0.914,0,0.227,0.063,90,493,55.42168675,0.167,0.94,0.079,0.024,0,0.975,C,22,0.173,0,0.134,0.164899645,0,1999,0.147809026,0.01,27215,0.024,961,1.05,0.112,0.988,20,0.700773646,0.072774194,0.52,0.089,22,No,0.086,0.22,100,974,0.212,22,0,0.075,0,0,22,0.427,13.15,205.155,1006,0.205,0.009,0.825,0.276,23,0.065,0.76,0.246,0.015,18,20,0.01,0.894,53,0.069651741,18,0.06,669,0.963,0.75,1.24,0.976,19,2016,0.92,-,0.21,14.24,No,19,0.398,111757,0.143,0.924,59,0.14,0.43,1380,0.135721018,21,80.2,0.044,0.5,13.1,60,0,0.074,1832.54,0.37,0.703973933,0.004,21,0,0.037,4,7,0.285,Met,58,0,0.175,0.112,0.114,2.27,56,0.273,0.070640347,21,0.0615,0.65,0.4,0.51,45,80,0.237,19,0.021,0.982,0.222,0.427,22,19,Open,63,5529.5,0,0.117,0,0.45,18,3.59,1.2,0.15,22,2423.365,0.964634537,55,0.239,5600.885,0.076,0.243,Traditional Calendar,22,0.074,NC,0.596,0.283,0.273,E,72,2000,1155.92,0.239,967.75,0.143,19,5,0.975,17,0,21,0.478,0.417,0,C,61.5,0.227,0.478,0.276,0.37,0.43,2172.86,0.119,0.639202907,19,1,22,Y,0.964,19,0.579,0.737,997,0.09,0.15,23,0.1255,0.001,Public,21,0.952,N,Regular School,19,8517.96,0.144,18,60,19,1,0.071,0.631,21,19.18,0,528,0.515,0.11,0.06,0,55.42168675,20,19,0.256,34,Burlington,0,School Is Not New,0.026,1.12,0.179,0.143,0.49,5718.43,0.51,F,0.417,-,3720 Bonnar Bridge Parkway,45,0.468,0.529,0.944,55-69,83.52,70.05,19.5,173.07
68,1,5.89,8358.47,21,8859.04,0.259,0.5,0.952,0.952,0.036,1998,0.468,0.856,38,18,0.214,0.62,0.054,C,7,0.256,0.914,0,0.227,0.063,90,493,55.42168675,0.167,0.94,0.079,0.024,0,0.975,C,15,0.173,0,0.134,0.164899645,0,1999,0.147809026,0.01,27302,0.024,961,1.7,0.112,0.988,20,0.700773646,0.072774194,0.52,0.089,22,No,0.086,0.22,100,974,0.212,22,0,0.075,0,0,22,0.427,13.15,205.155,1006,0.205,0.009,0.825,0.276,23,0.065,0.76,0.246,0.015,18,14,0.01,0.935,53,0.069651741,18,0.06,311,0.963,0.75,1.24,0.976,19,2016,0.92,-,0.21,14.24,No,19,0.398,111757,0.143,0.924,59,0.14,0.43,1380,0.135721018,21,80.2,0.061,0.5,29.16,60,0,0.074,1832.54,0.357,0.703973933,0.004,21,0,0.037,4,7,0.285,Met,58,0,0.175,0.13,0.304,1.18,56,0.273,0.070640347,21,0.0615,0.587,0.4,0.51,34,80,0.237,19,0.021,0.982,0.222,0.427,22,19,Open,63,5529.5,0,0.117,0,0.45,19,2.57,1.2,0.15,22,2423.365,0.964634537,55,0.148,5600.885,0.076,0.243,Traditional Calendar,17,0.074,NC,0.596,0.259,0.273,E,72,2000,1155.92,0.148,967.75,0.143,19,5,0.975,17,0,21,0.593,0.417,0,C,61.5,0.227,0.593,0.276,0.37,0.43,2172.86,0.119,0.639202907,19,1,22,Y,0.964,19,0.579,0.737,997,0.09,0.15,17,0.1255,0.001,Public,21,0.942,N,Regular School,19,8517.96,0.144,18,60,19,1,0.071,0.631,21,19.18,0,528,0.515,0.11,0.06,0,55.42168675,20,19,0.256,34,Mebane,0,School Is Not New,0.026,1.12,0.179,0.143,0.49,5718.43,0.51,F,0.417,-,301 N Charles Street,27,0.468,0.529,0.944,55-69,83.52,70.05,19.5,173.07
68,0.942,12.37,8358.47,21,8859.04,0.186,0.534,0.951,0.86,0.036,1996,0.518,0.856,54,18,0.214,0.62,0.054,C,12,0.24,0.914,0,0.231,0.078,90,860,57.95918367,0.167,0.94,0.105,0.024,0,0.903,C,19,0.173,0.23,0.148,0.164899645,0,1999,0.147809026,0.01,27302,0.024,961,1.05,0.112,0.889,20,0.700773646,0.072774194,0.52,0.089,22,No,0.086,0.96,100,996,0.212,22,0,0.075,0,0,21,0.427,14.02,205.155,1006,0.205,0.009,0.87,0.242,23,0.065,0.76,0.211,0.092,19,19,0.01,0.889,53,0.069651741,19,0.07,1217,0.963,0.75,1.24,0.976,19,2016,0.92,-,1.27,14.24,No,19,0.398,111757,0.103,0.924,59,0.14,0.43,1380,0.135721018,21,80.2,0.058,0.534,6.64,60,0,0.074,1832.54,0.143,0.703973933,0.003,21,0,0.037,5,7,0.248,Met,58,-1,0.142,0.128,0.098,1.36,56,0.235,0.070640347,21,0.0615,0.575,0.5,0.51,64,80,0.237,18,0.093,0.964,0.222,0.427,22,18,Open,63,5529.5,0,0.13,0,0.58,19,12.49,1.2,0.15,22,2423.365,0.964634537,55,0.371,5600.885,0.076,0.243,Traditional Calendar,21,0.074,NC,0.596,0.186,0.235,H,72,2000,1155.92,0.371,967.75,0.143,22,8,0.897,19,0.66,21,0.443,0.417,0,C,61.5,0.231,0.443,0.242,0.37,0.43,2172.86,0.119,0.639202907,19,1,22,Y,0.964,19,0.579,0.737,997,0.09,0.15,21,0.1255,0.005,Public,21,0.936,N,Regular School,22,8517.96,0.144,18,60,19,1,0.091,0.631,21,19.18,0,985,0.515,0.11,0.06,0,57.95918367,20,19,0.24,54,Mebane,0,School Is Not New,0.026,1.12,0.179,0.143,0.49,5718.43,0.51,F,0.417,-,4040 Mebane Rogers,70,0.518,0.578,0.941,55-69,83.52,70.05,19.5,173.07
